SamAccountName,password,path,GivenName,Surname,Initials,Name,DisplayName,UserPrincipalName,Department,Description,Office,OfficePhone,EmailAddress,StreetAddress,POBox ,City,State,PostalCode,Title,Company
Arnold,Support@123#,"OU=Sales,DC=cloudiq,DC=in",Arnold,A,B,Arnold,Arnold,arnold@cloudiq.in,Sales,Remote Work,Mind Space,541-213-5441,arnold@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Agent,Cloud IQ
Beiber,Support@123#,"OU=Sales,DC=cloudiq,DC=in",Beiber,B,J,Beiber,Beiber,b22@cloudiq.in,Sales,Remote Work,Mind Space,541-213-5442,beiber@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Trainee,Cloud IQ
Cathy,Support@123#,"OU=Dev,DC=cloudiq,DC=in",Cathy,C,J,Cathy,Cathy,cathy@cloudiq.in,Dev,Remote Work,Mind Space,541-213-5443,cathy@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Java Dev,Cloud IQ
Darrel,Support@123#,"OU=Dev,DC=cloudiq,DC=in",Darrel,D,J,Darrel,Darrel,darrel@cloudiq.in,Dev,Office Work,Mind Space,541-213-5444,darrel@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Nodejs Dev,Cloud IQ
Eric,Support@123#,"OU=Accounts,DC=cloudiq,DC=in",Eric,E,J,Eric,Eric,eric@cloudiq.in,Accounts,Remote Work,Mind Space,541-213-5445,eric@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Cloud IQ
Falcon,Support@123#,"OU=Accounts,DC=cloudiq,DC=in",Falcon,F,J,Falcon,Falcon,falcon@cloudiq.in,Accounts,Remote Work,Mind Space,541-213-5446,falcon@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Cloud IQ
Linda,Support@123#,"OU=IT,DC=cloudiq,DC=in",Linda,G,J,Linda,Linda,Linda@cloudiq.in,IT,Office Work,Mind Space,541-213-5447,Linda@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Senior Admin,Cloud IQ
Henry,Support@123#,"OU=IT,DC=cloudiq,DC=in",Henry,H,J,Henry,Henry,h33@cloudiq.in,IT,Remote Work,Mind Space,541-213-5448,henry@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Network admin,Cloud IQ
Indy,Support@123#,"OU=Dev,DC=cloudiq,DC=in",Indy,I,J,Indy,Indy,i66@cloudiq.in,Dev,Remote Work,Mind Space,541-213-5449,indy@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Oracle Dev,Cloud IQ
Jacob,Support@123#,"OU=Dev,DC=cloudiq,DC=in",Jacob,J,J,Jacob,Jacob,j88@cloudiq.in,Dev,Remote Work,Mind Space,541-213-5450,jacob@cloudiq.in,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,HTMl Dev,Cloud IQ
